Timestamp,Enter your classifications: [Image #1 contains...],Enter your classifications: [Image #2 contains...],Enter your classifications: [Image #3 contains...],Enter your classifications: [Image #4 contains...],Enter your classifications: [Image #5 contains...],Enter your classifications: [Image #6 contains...],Enter your classifications: [Image #7 contains...],Enter your classifications: [Image #8 contains...],Enter your classifications: [Image #9 contains...],Enter your classifications: [Image #10 contains...],Enter your classifications: [Image #11 contains...],Enter your classifications: [Image #12 contains...]
6/7/2018 15:07:45,3 sources,1 source,1 source,1 source,1 source,1 source,1 source,1 source,2 sources,1 source,2 sources,1 source
6/7/2018 15:11:54,4 sources,1 source,1 source,2 sources,1 source,1 source,1 source,1 source,3 sources,1 source,2 sources,1 source
6/7/2018 15:12:16,3 sources,1 source,1 source,1 source,1 source,1 source,1 source,1 source,3 sources,1 source,2 sources,1 source
6/7/2018 15:12:19,3 sources,1 source,2 sources,1 source,2 sources,1 source,2 sources,2 sources,4 sources,1 source,4 sources,1 source
6/7/2018 15:13:04,3 sources,1 source,1 source,1 source,1 source,1 source,1 source,1 source,3 sources,1 source,2 sources,1 source
6/7/2018 15:13:04,3 sources,1 source,1 source,1 source,2 sources,1 source,2 sources,2 sources,3 sources,1 source,3 sources,2 sources
6/7/2018 15:13:07,3 sources,4 sources,4 sources,1 source,1 source,1 source,2 sources,1 source,3 sources,1 source,2 sources,1 source
6/7/2018 15:13:09,3 sources,1 source,1 source,1 source,1 source,1 source,1 source,1 source,3 sources,1 source,2 sources,1 source
6/7/2018 15:13:09,3 sources,1 source,2 sources,1 source,2 sources,1 source,1 source,1 source,3 sources,1 source,2 sources,1 source
6/7/2018 15:13:21,3 sources,1 source,1 source,1 source,1 source,1 source,1 source,1 source,3 sources,1 source,2 sources,1 source
6/7/2018 15:13:28,3 sources,1 source,1 source,1 source,1 source,1 source,2 sources,2 sources,4 sources,1 source,2 sources,1 source
6/7/2018 15:13:34,3 sources,1 source,2 sources,1 source,2 sources,1 source,1 source,1 source,3 sources,1 source,2 sources,1 source
6/7/2018 15:13:35,3 sources,1 source,2 sources,1 source,1 source,1 source,1 source,2 sources,4 sources,2 sources,3 sources,1 source
6/7/2018 15:13:36,3 sources,1 source,1 source,1 source,1 source,1 source,1 source,1 source,3 sources,1 source,2 sources,1 source
6/7/2018 15:13:36,2 sources,1 source,1 source,1 source,1 source,1 source,1 source,1 source,2 sources,1 source,2 sources,1 source
6/7/2018 15:13:37,3 sources,1 source,1 source,1 source,1 source,1 source,1 source,1 source,2 sources,1 source,2 sources,1 source
6/7/2018 15:13:38,3 sources,1 source,1 source,1 source,1 source,1 source,1 source,1 source,3 sources,1 source,2 sources,1 source
6/7/2018 15:13:39,3 sources,1 source,1 source,1 source,1 source,1 source,1 source,1 source,3 sources,1 source,2 sources,1 source
6/7/2018 15:13:45,3 sources,1 source,1 source,1 source,1 source,1 source,1 source,1 source,3 sources,1 source,2 sources,1 source
6/7/2018 15:13:47,2 sources,1 source,1 source,1 source,1 source,1 source,1 source,1 source,3 sources,1 source,2 sources,1 source
6/7/2018 15:13:52,3 sources,1 source,2 sources,1 source,2 sources,1 source,2 sources,1 source,4 sources,1 source,2 sources,1 source
6/7/2018 15:13:53,3 sources,1 source,1 source,1 source,1 source,1 source,1 source,1 source,3 sources,1 source,2 sources,1 source
6/7/2018 15:13:55,3 sources,1 source,1 source,1 source,1 source,1 source,2 sources,1 source,4 sources,1 source,2 sources,1 source
6/7/2018 15:13:59,3 sources,1 source,1 source,1 source,1 source,1 source,1 source,1 source,3 sources,1 source,2 sources,1 source
6/7/2018 15:14:04,3 sources,1 source,2 sources,1 source,1 source,1 source,2 sources,1 source,3 sources,1 source,2 sources,1 source
6/7/2018 15:14:08,3 sources,1 source,1 source,1 source,1 source,1 source,1 source,1 source,2 sources,1 source,2 sources,1 source
6/7/2018 15:14:14,3 sources,1 source,1 source,1 source,1 source,1 source,1 source,1 source,3 sources,1 source,2 sources,1 source
6/7/2018 15:14:18,3 sources,1 source,2 sources,1 source,1 source,1 source,1 source,1 source,3 sources,1 source,2 sources,1 source
6/7/2018 15:14:18,3 sources,1 source,1 source,1 source,1 source,1 source,1 source,1 source,3 sources,1 source,2 sources,1 source
6/7/2018 15:14:25,3 sources,1 source,2 sources,2 sources,1 source,1 source,2 sources,1 source,3 sources,1 source,2 sources,1 source
6/7/2018 15:14:35,2 sources,1 source,1 source,1 source,1 source,1 source,1 source,1 source,3 sources,1 source,4 sources,1 source
6/7/2018 15:14:37,3 sources,1 source,1 source,1 source,1 source,1 source,1 source,2 sources,3 sources,1 source,3 sources,1 source
6/7/2018 15:14:52,3 sources,1 source,2 sources,2 sources,1 source,1 source,1 source,1 source,3 sources,1 source,2 sources,1 source
6/7/2018 15:14:53,3 sources,2 sources,1 source,1 source,1 source,1 source,1 source,2 sources,3 sources,1 source,2 sources,1 source
6/7/2018 15:14:57,4 sources,1 source,1 source,1 source,1 source,1 source,2 sources,1 source,3 sources,1 source,2 sources,2 sources
6/7/2018 15:15:00,3 sources,1 source,1 source,1 source,2 sources,1 source,1 source,1 source,4 sources,1 source,2 sources,1 source
6/7/2018 15:15:03,3 sources,1 source,1 source,1 source,1 source,1 source,2 sources,1 source,4 sources,1 source,2 sources,2 sources
6/7/2018 15:15:04,3 sources,1 source,1 source,1 source,2 sources,1 source,1 source,1 source,3 sources,1 source,2 sources,1 source
6/7/2018 15:15:10,3 sources,1 source,1 source,1 source,1 source,1 source,1 source,1 source,3 sources,1 source,2 sources,1 source
6/7/2018 15:15:11,4 sources,1 source,1 source,1 source,1 source,1 source,2 sources,1 source,3 sources,1 source,2 sources,1 source
6/7/2018 15:15:11,3 sources,1 source,1 source,1 source,1 source,1 source,1 source,2 sources,3 sources,1 source,2 sources,1 source
6/7/2018 15:15:12,3 sources,1 source,2 sources,1 source,2 sources,1 source,2 sources,1 source,4 sources,1 source,2 sources,1 source
6/7/2018 15:15:15,3 sources,1 source,1 source,1 source,1 source,1 source,1 source,1 source,4 sources,1 source,2 sources,1 source
6/7/2018 15:15:18,2 sources,1 source,1 source,2 sources,1 source,1 source,2 sources,1 source,3 sources,1 source,2 sources,1 source
6/7/2018 15:15:18,3 sources,2 sources,1 source,1 source,1 source,1 source,1 source,1 source,2 sources,1 source,2 sources,1 source
6/7/2018 15:15:23,3 sources,1 source,1 source,1 source,2 sources,1 source,2 sources,2 sources,4 sources,1 source,3 sources,2 sources
6/7/2018 15:15:24,3 sources,1 source,1 source,1 source,1 source,1 source,1 source,1 source,4 sources,1 source,2 sources,1 source
6/7/2018 15:15:25,2 sources,1 source,1 source,1 source,1 source,1 source,1 source,1 source,4 sources,1 source,3 sources,1 source
6/7/2018 15:15:26,3 sources,1 source,1 source,1 source,1 source,1 source,1 source,1 source,3 sources,1 source,2 sources,1 source
6/7/2018 15:15:29,2 sources,2 sources,2 sources,1 source,1 source,2 sources,2 sources,1 source,3 sources,2 sources,3 sources,1 source
6/7/2018 15:15:32,3 sources,1 source,1 source,1 source,2 sources,1 source,1 source,2 sources,3 sources,1 source,3 sources,2 sources
6/7/2018 15:15:49,3 sources,1 source,1 source,1 source,2 sources,1 source,1 source,2 sources,4 sources,1 source,3 sources,1 source
6/7/2018 15:15:58,4 sources,1 source,1 source,1 source,1 source,1 source,2 sources,2 sources,4 sources,1 source,3 sources,2 sources
6/7/2018 15:16:03,3 sources,1 source,1 source,2 sources,1 source,1 source,2 sources,2 sources,3 sources,2 sources,2 sources,2 sources
6/7/2018 15:16:04,3 sources,1 source,1 source,1 source,1 source,1 source,1 source,1 source,3 sources,2 sources,2 sources,1 source
6/7/2018 15:16:19,3 sources,1 source,1 source,1 source,1 source,1 source,2 sources,1 source,4 sources,1 source,3 sources,1 source
6/7/2018 15:16:24,3 sources,1 source,1 source,1 source,1 source,1 source,1 source,1 source,3 sources,1 source,2 sources,1 source
6/7/2018 15:16:26,3 sources,1 source,1 source,1 source,1 source,1 source,1 source,1 source,3 sources,1 source,2 sources,1 source
6/7/2018 15:17:05,3 sources,1 source,1 source,1 source,1 source,1 source,2 sources,2 sources,4 sources,1 source,3 sources,2 sources
6/7/2018 15:17:13,3 sources,1 source,2 sources,2 sources,3 sources,1 source,2 sources,1 source,4 sources,2 sources,3 sources,1 source
6/7/2018 15:17:42,3 sources,2 sources,2 sources,1 source,1 source,1 source,2 sources,1 source,4 sources,1 source,2 sources,1 source
6/7/2018 15:18:22,3 sources,1 source,2 sources,1 source,1 source,1 source,1 source,2 sources,4 sources,1 source,2 sources,2 sources
6/7/2018 15:19:54,3 sources,1 source,1 source,1 source,1 source,1 source,1 source,2 sources,3 sources,1 source,2 sources,2 sources